==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
139.98ms  2.3840us  cuDeviceGetCount
139.98ms     156ns  cuDeviceGetCount
140.14ms     580ns  cuDeviceGet
140.20ms     211ns  cuDeviceGetCount
140.20ms     130ns  cuDeviceGet
140.21ms  18.890us  cuDeviceGetName
140.23ms     360ns  cuDeviceTotalMem
141.20ms  4.81875s  cudaMalloc
4.96027s  133.12us  cudaMemcpyAsync
4.96041s  17.432us  cudaStreamSynchronize
4.96240s  28.852us  cudaMemcpyAsync
4.96243s  7.4600us  cudaStreamSynchronize
4.96251s  18.969us  cudaMemcpyAsync
4.96253s  5.0350us  cudaStreamSynchronize
4.96263s  13.392us  cudaMemcpyAsync
4.96265s  6.1250us  cudaStreamSynchronize
4.96270s  12.763us  cudaMemcpyAsync
4.96272s  5.9000us  cudaStreamSynchronize
4.96277s  5.1730us  cudaMemcpyAsync
4.96277s  6.0460us  cudaStreamSynchronize
4.96311s  45.618us  cudaMemcpyAsync
4.96316s  8.9530us  cudaStreamSynchronize
4.96324s  13.778us  cudaMemcpyAsync
4.96326s  5.9950us  cudaStreamSynchronize
4.96332s  6.0880us  cudaMemcpyAsync
4.96333s  8.1820us  cudaStreamSynchronize
4.96338s  5.6600us  cudaMemcpyAsync
4.96338s  6.1210us  cudaStreamSynchronize
4.96343s  12.754us  cudaMemcpyAsync
4.96345s  5.9690us  cudaStreamSynchronize
4.96350s  13.722us  cudaMemcpyAsync
4.96352s  6.0680us  cudaStreamSynchronize
4.96357s  254.49us  cudaMemcpyAsync
4.96382s  26.155us  cudaStreamSynchronize
4.96410s  30.028us  cudaMemcpyAsync
4.96413s  6.9460us  cudaStreamSynchronize
4.96419s  29.773us  cudaMemcpyAsync
4.96422s  6.1760us  cudaStreamSynchronize
4.96428s  13.613us  cudaMemcpyAsync
4.96430s  5.8670us  cudaStreamSynchronize
4.96433s  5.2350us  cudaMemcpyAsync
4.96434s  6.0620us  cudaStreamSynchronize
4.96438s  11.747us  cudaMemcpyAsync
4.96440s  5.8620us  cudaStreamSynchronize
4.96446s  132.74us  cudaMemcpyAsync
4.96459s  16.620us  cudaStreamSynchronize
4.96467s  7.6450us  cudaMemcpyAsync
4.96468s  6.4590us  cudaStreamSynchronize
4.96473s  12.709us  cudaMemcpyAsync
4.96474s  5.9380us  cudaStreamSynchronize
4.96478s  7.6160us  cudaMemcpyAsync
4.96479s  6.3650us  cudaStreamSynchronize
4.96483s  4.9020us  cudaMemcpyAsync
4.96484s  6.3790us  cudaStreamSynchronize
4.96488s  11.636us  cudaMemcpyAsync
4.96489s  6.1770us  cudaStreamSynchronize
4.96495s  138.52us  cudaMemcpyAsync
4.96509s  16.480us  cudaStreamSynchronize
4.96518s  7.3680us  cudaMemcpyAsync
4.96518s  6.1720us  cudaStreamSynchronize
4.96526s  7.7180us  cudaMemcpyAsync
4.96527s  6.3890us  cudaStreamSynchronize
4.96533s  6.1850us  cudaMemcpyAsync
4.96533s  6.6000us  cudaStreamSynchronize
4.96537s  5.2530us  cudaMemcpyAsync
4.96537s  6.0840us  cudaStreamSynchronize
4.96542s  4.7810us  cudaMemcpyAsync
4.96542s  6.1980us  cudaStreamSynchronize
4.96550s  126.16us  cudaMemcpyAsync
4.96563s  16.485us  cudaStreamSynchronize
4.96571s  7.2500us  cudaMemcpyAsync
4.96572s  6.2280us  cudaStreamSynchronize
4.96574s  4.8690us  cudaMemcpyAsync
4.96575s  6.1210us  cudaStreamSynchronize
4.96581s  12.851us  cudaMemcpyAsync
4.96582s  5.8270us  cudaStreamSynchronize
4.96586s  12.248us  cudaMemcpyAsync
4.96587s  5.8670us  cudaStreamSynchronize
4.96590s  12.091us  cudaMemcpyAsync
4.96592s  5.7820us  cudaStreamSynchronize
4.96595s  270.69us  cudaMemcpyAsync
4.96622s  23.955us  cudaStreamSynchronize
4.96632s  16.060us  cudaMemcpyAsync
4.96634s  6.3750us  cudaStreamSynchronize
4.96639s  5.8420us  cudaMemcpyAsync
4.96640s  6.2910us  cudaStreamSynchronize
4.96644s  14.773us  cudaMemcpyAsync
4.96646s  4.1340us  cudaStreamSynchronize
4.96649s  16.015us  cudaMemcpyAsync
4.96651s  6.3520us  cudaStreamSynchronize
4.96655s  11.594us  cudaMemcpyAsync
4.96656s  5.8980us  cudaStreamSynchronize
4.96661s  129.58us  cudaMemcpyAsync
4.96674s  16.108us  cudaStreamSynchronize
4.96683s  6.9280us  cudaMemcpyAsync
4.96683s  6.4670us  cudaStreamSynchronize
4.96688s  6.1740us  cudaMemcpyAsync
4.96688s  6.2790us  cudaStreamSynchronize
4.96694s  5.7000us  cudaMemcpyAsync
4.96694s  7.8400us  cudaStreamSynchronize
4.96697s  5.1850us  cudaMemcpyAsync
4.96698s  6.3040us  cudaStreamSynchronize
4.96702s  11.778us  cudaMemcpyAsync
4.96703s  5.8710us  cudaStreamSynchronize
4.96710s  123.63us  cudaMemcpyAsync
4.96723s  16.777us  cudaStreamSynchronize
4.96732s  14.617us  cudaMemcpyAsync
4.96733s  6.1860us  cudaStreamSynchronize
4.96737s  14.506us  cudaMemcpyAsync
4.96739s  6.0480us  cudaStreamSynchronize
4.96744s  13.624us  cudaMemcpyAsync
4.96745s  5.8440us  cudaStreamSynchronize
4.96751s  12.907us  cudaMemcpyAsync
4.96752s  6.0620us  cudaStreamSynchronize
4.96757s  12.200us  cudaMemcpyAsync
4.96758s  5.8990us  cudaStreamSynchronize
4.96765s  258.25us  cudaMemcpyAsync
