==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
139.98ms  2.3840us  cuDeviceGetCount
139.98ms     156ns  cuDeviceGetCount
140.14ms     580ns  cuDeviceGet
140.15ms  6.0830us  cuDeviceGetAttribute
140.16ms     266ns  cuDeviceGetAttribute
140.16ms     173ns  cuDeviceGetAttribute
140.20ms     211ns  cuDeviceGetCount
140.20ms     130ns  cuDeviceGet
140.21ms  18.890us  cuDeviceGetName
140.23ms     360ns  cuDeviceTotalMem
140.23ms     310ns  cuDeviceGetAttribute
140.23ms     153ns  cuDeviceGetAttribute
140.23ms     140ns  cuDeviceGetAttribute
140.23ms     163ns  cuDeviceGetAttribute
140.23ms     159ns  cuDeviceGetAttribute
140.23ms  12.421us  cuDeviceGetAttribute
140.24ms     162ns  cuDeviceGetAttribute
140.24ms     132ns  cuDeviceGetAttribute
140.24ms     146ns  cuDeviceGetAttribute
140.24ms     141ns  cuDeviceGetAttribute
140.24ms     323ns  cuDeviceGetAttribute
140.24ms     136ns  cuDeviceGetAttribute
140.24ms     132ns  cuDeviceGetAttribute
140.24ms     133ns  cuDeviceGetAttribute
140.24ms     132ns  cuDeviceGetAttribute
140.24ms     137ns  cuDeviceGetAttribute
140.24ms     132ns  cuDeviceGetAttribute
140.24ms     133ns  cuDeviceGetAttribute
140.25ms     139ns  cuDeviceGetAttribute
140.25ms     131ns  cuDeviceGetAttribute
140.25ms     131ns  cuDeviceGetAttribute
140.25ms     147ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     130ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     135ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     131ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     278ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     133ns  cuDeviceGetAttribute
140.25ms     131ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     128ns  cuDeviceGetAttribute
140.25ms     129ns  cuDeviceGetAttribute
140.25ms     129ns  cuDeviceGetAttribute
140.25ms     127ns  cuDeviceGetAttribute
140.25ms     128ns  cuDeviceGetAttribute
140.25ms     145ns  cuDeviceGetAttribute
140.25ms     132ns  cuDeviceGetAttribute
140.25ms     134ns  cuDeviceGetAttribute
140.25ms     128ns  cuDeviceGetAttribute
140.25ms     126ns  cuDeviceGetAttribute
140.25ms     130ns  cuDeviceGetAttribute
140.25ms     129ns  cuDeviceGetAttribute
140.26ms     131ns  cuDeviceGetAttribute
140.26ms     131ns  cuDeviceGetAttribute
140.26ms     128ns  cuDeviceGetAttribute
140.26ms     128ns  cuDeviceGetAttribute
140.26ms  59.877us  cuDeviceGetAttribute
140.32ms     156ns  cuDeviceGetAttribute
140.32ms     135ns  cuDeviceGetAttribute
140.32ms     136ns  cuDeviceGetAttribute
140.32ms     133ns  cuDeviceGetAttribute
140.32ms     136ns  cuDeviceGetAttribute
140.32ms     138ns  cuDeviceGetAttribute
140.32ms     132ns  cuDeviceGetAttribute
140.32ms     137ns  cuDeviceGetAttribute
140.32ms     127ns  cuDeviceGetAttribute
140.32ms     130ns  cuDeviceGetAttribute
140.32ms     128ns  cuDeviceGetAttribute
140.32ms     129ns  cuDeviceGetAttribute
140.32ms     133ns  cuDeviceGetAttribute
140.32ms     135ns  cuDeviceGetAttribute
140.32ms     129ns  cuDeviceGetAttribute
140.32ms     135ns  cuDeviceGetAttribute
140.32ms     143ns  cuDeviceGetAttribute
140.32ms     139ns  cuDeviceGetAttribute
140.32ms     137ns  cuDeviceGetAttribute
140.32ms     131ns  cuDeviceGetAttribute
140.32ms  57.155us  cuDeviceGetAttribute
140.38ms     153ns  cuDeviceGetAttribute
140.38ms     148ns  cuDeviceGetAttribute
140.38ms     146ns  cuDeviceGetAttribute
140.38ms     138ns  cuDeviceGetAttribute
140.38ms     133ns  cuDeviceGetAttribute
140.38ms     137ns  cuDeviceGetAttribute
140.38ms     134ns  cuDeviceGetAttribute
140.38ms     534ns  cuDeviceGetAttribute
140.38ms     134ns  cuDeviceGetAttribute
140.38ms     146ns  cuDeviceGetAttribute
140.38ms     142ns  cuDeviceGetAttribute
140.38ms     512ns  cuDeviceGetAttribute
140.38ms     132ns  cuDeviceGetAttribute
140.38ms     198ns  cuDeviceGetAttribute
140.39ms     122ns  cuDeviceGetAttribute
140.39ms     152ns  cuDeviceGetAttribute
140.39ms     127ns  cuDeviceGetAttribute
140.39ms     213ns  cuDeviceGetAttribute
140.39ms  1.2310us  cudaGetDeviceCount
140.47ms     159ns  cudaGetDeviceCount
140.47ms  10.002us  cudaGetDevice
140.48ms  2.4360us  cudaSetDevice
140.50ms     180ns  cudaGetDeviceCount
140.51ms  130.06us  cudaGetDeviceProperties
140.64ms     580ns  cudaSetDevice
140.66ms     138ns  cudaGetDeviceCount
140.66ms  127.32us  cudaGetDeviceProperties
140.85ms     164ns  cudaGetDeviceCount
140.85ms     110ns  cudaGetDeviceCount
141.02ms     306ns  cudaGetDeviceCount
141.03ms     133ns  cudaGetDeviceCount
141.03ms     121ns  cudaGetDeviceCount
141.06ms     142ns  cudaGetDeviceCount
